name,type,value,date
新疆,,6,2008/7/01
云南,,15,2008/7/01
安徽,,6,2008/9/01
北京,,4,2008/9/01
重庆,,7,2008/9/01
福建,,6,2008/9/01
甘肃,,14,2008/9/01
广东,,12,2008/9/01
广西,,18,2008/9/01
贵州,,20,2008/9/01
海南,,2,2008/9/01
河北,,5,2008/9/01
河南,,9,2008/9/01
黑龙江,,10,2008/9/01
湖北,,10,2008/9/01
湖南,,4,2008/9/01
吉林,,3,2008/9/01
江苏,,7,2008/9/01
江西,,5,2008/9/01
辽宁,,5,2008/9/01
内蒙古,,2,2008/9/01
宁夏,,4,2008/9/01
青海,,0,2008/9/01
山东,,8,2008/9/01
山西,,8,2008/9/01
陕西,,10,2008/9/01
上海,,4,2008/9/01
四川,,24,2008/9/01
天津,,0,2008/9/01
西藏,,2,2008/9/01
新疆,,5,2008/9/01
云南,,18,2008/9/01
安徽,,14,2009/1/01
北京,,8,2009/1/01
重庆,,6,2009/1/01
福建,,11,2009/1/01
甘肃,,2,2009/1/01
广东,,20,2009/1/01
广西,,36,2009/1/01
贵州,,29,2009/1/01
海南,,0,2009/1/01
河北,,7,2009/1/01
河南,,7,2009/1/01
黑龙江,,8,2009/1/01
湖北,,10,2009/1/01
湖南,,6,2009/1/01
吉林,,4,2009/1/01
江苏,,9,2009/1/01
江西,,6,2009/1/01
辽宁,,4,2009/1/01
内蒙古,,8,2009/1/01
宁夏,,4,2009/1/01
青海,,1,2009/1/01
山东,,13,2009/1/01
山西,,14,2009/1/01
陕西,,11,2009/1/01
上海,,11,2009/1/01
四川,,16,2009/1/01
天津,,0,2009/1/01
西藏,,5,2009/1/01
新疆,,6,2009/1/01
云南,,21,2009/1/01
安徽,,10,2009/11/01
北京,,3,2009/11/01
重庆,,4,2009/11/01
福建,,9,2009/11/01
甘肃,,5,2009/11/01
广东,,23,2009/11/01
广西,,18,2009/11/01
贵州,,19,2009/11/01
海南,,0,2009/11/01
河北,,7,2009/11/01
河南,,5,2009/11/01
黑龙江,,7,2009/11/01
湖北,,8,2009/11/01
湖南,,10,2009/11/01
吉林,,4,2009/11/01
江苏,,13,2009/11/01
江西,,4,2009/11/01
辽宁,,1,2009/11/01
内蒙古,,9,2009/11/01
宁夏,,3,2009/11/01
青海,,0,2009/11/01
山东,,7,2009/11/01
山西,,6,2009/11/01
陕西,,0,2009/11/01
上海,,5,2009/11/01
四川,,18,2009/11/01
天津,,1,2009/11/01
西藏,,0,2009/11/01
新疆,,7,2009/11/01
云南,,20,2009/11/01
安徽,,13,2009/3/01
北京,,7,2009/3/01
重庆,,20,2009/3/01
福建,,12,2009/3/01
甘肃,,7,2009/3/01
广东,,17,2009/3/01
广西,,15,2009/3/01
贵州,,12,2009/3/01
海南,,5,2009/3/01
河北,,12,2009/3/01
河南,,4,2009/3/01
黑龙江,,10,2009/3/01
湖北,,11,2009/3/01
湖南,,15,2009/3/01
吉林,,4,2009/3/01
江苏,,16,2009/3/01
江西,,3,2009/3/01
辽宁,,2,2009/3/01
内蒙古,,10,2009/3/01
宁夏,,4,2009/3/01
青海,,2,2009/3/01
山东,,8,2009/3/01
山西,,12,2009/3/01
陕西,,6,2009/3/01
上海,,6,2009/3/01
四川,,22,2009/3/01
天津,,0,2009/3/01
西藏,,0,2009/3/01
新疆,,13,2009/3/01
云南,,10,2009/3/01
安徽,,7,2009/5/01
北京,,11,2009/5/01
重庆,,7,2009/5/01
福建,,12,2009/5/01
甘肃,,8,2009/5/01
广东,,18,2009/5/01
广西,,26,2009/5/01
贵州,,12,2009/5/01
海南,,3,2009/5/01
河北,,4,2009/5/01
河南,,6,2009/5/01
黑龙江,,22,2009/5/01
湖北,,8,2009/5/01
湖南,,16,2009/5/01
吉林,,5,2009/5/01
江苏,,15,2009/5/01
江西,,8,2009/5/01
辽宁,,10,2009/5/01
内蒙古,,7,2009/5/01
宁夏,,4,2009/5/01
青海,,0,2009/5/01
山东,,10,2009/5/01
山西,,8,2009/5/01
陕西,,9,2009/5/01
上海,,8,2009/5/01
四川,,28,2009/5/01
天津,,2,2009/5/01
西藏,,2,2009/5/01
新疆,,15,2009/5/01
云南,,23,2009/5/01
安徽,,19,2009/7/01
北京,,4,2009/7/01
重庆,,18,2009/7/01
福建,,20,2009/7/01
甘肃,,12,2009/7/01
广东,,19,2009/7/01
广西,,20,2009/7/01
贵州,,28,2009/7/01
海南,,3,2009/7/01
河北,,13,2009/7/01
河南,,5,2009/7/01
黑龙江,,11,2009/7/01
湖北,,13,2009/7/01
