name,type,value,date
云南,,44,2005-03-01
云南,,66,2005-05-01
云南,,83,2005-07-01
云南,,98,2005-09-01
云南,,112,2005-11-01
云南,,146,2006-01-01
云南,,162,2006-03-01
云南,,178,2006-05-01
云南,,198,2006-07-01
云南,,207,2006-09-01
云南,,223,2006-11-01
云南,,241,2007-01-01
云南,,259,2007-03-01
云南,,289,2007-05-01
云南,,311,2007-07-01
云南,,332,2007-09-01
云南,,352,2007-11-01
云南,,377,2008-01-01
云南,,396,2008-03-01
云南,,419,2008-05-01
云南,,434,2008-07-01
云南,,452,2008-09-01
云南,,467,2008-11-01
云南,,488,2009-01-01
云南,,498,2009-03-01
云南,,521,2009-05-01
云南,,543,2009-07-01
云南,,554,2009-09-01
云南,,574,2009-11-01
云南,,588,2010-01-01
云南,,611,2010-03-01
云南,,629,2010-05-01
云南,,641,2010-07-01
云南,,659,2010-09-01
云南,,677,2010-11-01
云南,,703,2011-01-01
云南,,727,2011-03-01
云南,,751,2011-05-01
云南,,769,2011-07-01
云南,,779,2011-09-01
云南,,799,2011-11-01
云南,,816,2012-01-01
云南,,827,2012-03-01
云南,,840,2012-05-01
云南,,851,2012-07-01
云南,,866,2012-09-01
云南,,877,2012-11-01
云南,,887,2013-01-01
云南,,905,2013-03-01
云南,,908,2013-05-01
云南,,920,2013-07-01
云南,,931,2013-09-01
云南,,940,2013-11-01
云南,,955,2014-01-01
云南,,974,2014-03-01
云南,,985,2014-05-01
云南,,994,2014-07-01
云南,,1001,2014-09-01
云南,,1011,2014-11-01
云南,,1021,2015-01-01
云南,,1036,2015-03-01
云南,,1048,2015-05-01
云南,,1060,2015-07-01
云南,,1068,2015-09-01
云南,,1083,2015-11-01
云南,,1095,2016-01-01
云南,,1104,2016-03-01
云南,,1110,2016-05-01
云南,,1116,2016-07-01
云南,,1126,2016-09-01
云南,,1137,2016-11-01
云南,,1144,2017-01-01
云南,,1155,2017-03-01
云南,,1166,2017-05-01
云南,,1173,2017-07-01
云南,,1177,2017-09-01
云南,,1186,2017-11-01
云南,,1193,2018-01-01
云南,,1195,2018-03-01
云南,,1201,2018-05-01
云南,,1209,2018-07-01
云南,,1212,2018-09-01
云南,,1214,2018-11-01
新疆,,6,2005-01-01
新疆,,10,2005-03-01
新疆,,21,2005-05-01
新疆,,26,2005-07-01
新疆,,51,2005-09-01
新疆,,71,2005-11-01
新疆,,78,2006-01-01
新疆,,89,2006-03-01
新疆,,96,2006-05-01
新疆,,98,2006-07-01
新疆,,104,2006-09-01
新疆,,105,2006-11-01
新疆,,107,2007-01-01
新疆,,109,2007-03-01
新疆,,117,2007-05-01
新疆,,127,2007-07-01
新疆,,137,2007-09-01
新疆,,143,2007-11-01
新疆,,145,2008-01-01
新疆,,154,2008-03-01
新疆,,160,2008-05-01
新疆,,166,2008-07-01
新疆,,171,2008-09-01
新疆,,176,2008-11-01
新疆,,182,2009-01-01
新疆,,195,2009-03-01
新疆,,210,2009-05-01
新疆,,217,2009-07-01
新疆,,224,2009-09-01
新疆,,231,2009-11-01
新疆,,240,2010-01-01
新疆,,250,2010-03-01
新疆,,261,2010-05-01
新疆,,273,2010-07-01
新疆,,285,2010-09-01
新疆,,295,2010-11-01
新疆,,303,2011-01-01
新疆,,315,2011-03-01
新疆,,323,2011-05-01
新疆,,332,2011-07-01
新疆,,339,2011-09-01
新疆,,342,2011-11-01
新疆,,345,2012-01-01
新疆,,349,2012-03-01
新疆,,353,2012-05-01
新疆,,358,2012-07-01
新疆,,361,2012-09-01
新疆,,364,2012-11-01
新疆,,368,2013-01-01
新疆,,371,2013-03-01
新疆,,382,2013-05-01
新疆,,398,2013-07-01
新疆,,411,2013-09-01
新疆,,421,2013-11-01
新疆,,423,2014-01-01
新疆,,427,2014-03-01
新疆,,434,2014-05-01
新疆,,447,2014-07-01
新疆,,453,2014-09-01
新疆,,458,2014-11-01
新疆,,463,2015-01-01
新疆,,466,2015-03-01
新疆,,470,2015-05-01
新疆,,474,2015-07-01
新疆,,478,2015-09-01
新疆,,481,2015-11-01
新疆,,485,2016-01-01
新疆,,486,2016-03-01
新疆,,490,2016-05-01
新疆,,493,2016-07-01
新疆,,501,2016-09-01
新疆,,502,2016-11-01
新疆,,508,2017-01-01
新疆,,509,2017-03-01
新疆,,511,2017-05-01
新疆,,514,2017-07-01
新疆,,516,2017-09-01
新疆,,517,2017-11-01
新疆,,517,2018-01-01
新疆,,517,2018-03-01
新疆,,521,2018-05-01
新疆,,521,2018-07-01
新疆,,521,2018-09-01
新疆,,522,2018-11-01
浙江,,14,2005-01-01
浙江,,26,2005-03-01
浙江,,32,2005-05-01
浙江,,37,2005-07-01
浙江,,46,2005-09-01
浙江,,63,2005-11-01
浙江,,70,2006-01-01
浙江,,87,2006-03-01
浙江,,101,2006-05-01
浙江,,106,2006-07-01
浙江,,120,2006-09-01
浙江,,145,2006-11-01
浙江,,165,2007-01-01
浙江,,185,2007-03-01
浙江,,199,2007-05-01
浙江,,231,2007-07-01
浙江,,254,2007-09-01
浙江,,276,2007-11-01
浙江,,296,2008-01-01
浙江,,322,2008-03-01
浙江,,345,2008-05-01
浙江,,362,2008-07-01
浙江,,377,2008-09-01
浙江,,408,2008-11-01
浙江,,425,2009-01-01
浙江,,457,2009-03-01
浙江,,480,2009-05-01
浙江,,504,2009-07-01
浙江,,513,2009-09-01
浙江,,521,2009-11-01
浙江,,533,2010-01-01
浙江,,550,2010-03-01
浙江,,557,2010-05-01
浙江,,568,2010-07-01
浙江,,575,2010-09-01
浙江,,587,2010-11-01
浙江,,602,2011-01-01
浙江,,619,2011-03-01
浙江,,632,2011-05-01
浙江,,647,2011-07-01
浙江,,659,2011-09-01
浙江,,667,2011-11-01
浙江,,673,2012-01-01
浙江,,682,2012-03-01
浙江,,690,2012-05-01
浙江,,696,2012-07-01
浙江,,702,2012-09-01
浙江,,708,2012-11-01
浙江,,716,2013-01-01
浙江,,722,2013-03-01
浙江,,733,2013-05-01
浙江,,740,2013-07-01
浙江,,750,2013-09-01
浙江,,761,2013-11-01
浙江,,770,2014-01-01
浙江,,779,2014-03-01
浙江,,785,2014-05-01
浙江,,793,2014-07-01
浙江,,797,2014-09-01
浙江,,804,2014-11-01
浙江,,809,2015-01-01
浙江,,817,2015-03-01
浙江,,819,2015-05-01
浙江,,824,2015-07-01
浙江,,826,2015-09-01
浙江,,830,2015-11-01
浙江,,835,2016-01-01
浙江,,839,2016-03-01
浙江,,843,2016-05-01
浙江,,846,2016-07-01
浙江,,849,2016-09-01
浙江,,852,2016-11-01
浙江,,863,2017-01-01
浙江,,872,2017-03-01
浙江,,875,2017-05-01
浙江,,880,2017-07-01
浙江,,885,2017-09-01
浙江,,889,2017-11-01
浙江,,893,2018-01-01
浙江,,894,2018-03-01
浙江,,898,2018-05-01
浙江,,904,2018-07-01
浙江,,907,2018-09-01
浙江,,908,2018-11-01
西藏,,2,2005-01-01
西藏,,4,2005-03-01
西藏,,6,2005-05-01
西藏,,10,2005-07-01
西藏,,12,2005-09-01
西藏,,16,2005-11-01
西藏,,19,2006-01-01
西藏,,25,2006-03-01
西藏,,26,2006-05-01
西藏,,28,2006-07-01
西藏,,29,2006-09-01
西藏,,31,2006-11-01
西藏,,31,2007-01-01
西藏,,35,2007-03-01
西藏,,36,2007-05-01
西藏,,39,2007-07-01
西藏,,41,2007-09-01
西藏,,41,2007-11-01
西藏,,44,2008-01-01
西藏,,44,2008-03-01
西藏,,45,2008-05-01
西藏,,47,2008-07-01
西藏,,49,2008-09-01
西藏,,51,2008-11-01
西藏,,56,2009-01-01
西藏,,56,2009-03-01
西藏,,58,2009-05-01
西藏,,59,2009-07-01
西藏,,63,2009-09-01
西藏,,63,2009-11-01
西藏,,64,2010-01-01
西藏,,66,2010-03-01
西藏,,69,2010-05-01
西藏,,72,2010-07-01
西藏,,74,2010-09-01
西藏,,76,2010-11-01
西藏,,76,2011-01-01
西藏,,77,2011-03-01
西藏,,77,2011-05-01
西藏,,85,2011-07-01
西藏,,86,2011-09-01
西藏,,87,2011-11-01
西藏,,90,2012-01-01
西藏,,92,2012-03-01
西藏,,94,2012-05-01
西藏,,101,2012-07-01
西藏,,102,2012-09-01
西藏,,107,2012-11-01
西藏,,107,2013-01-01
西藏,,107,2013-03-01
西藏,,108,2013-05-01
西藏,,112,2013-07-01
西藏,,114,2013-09-01
西藏,,119,2013-11-01
西藏,,121,2014-01-01
西藏,,124,2014-03-01
西藏,,129,2014-05-01
西藏,,134,2014-07-01
西藏,,135,2014-09-01
西藏,,135,2014-11-01
西藏,,135,2015-01-01
西藏,,138,2015-03-01
西藏,,140,2015-05-01
西藏,,142,2015-07-01
西藏,,142,2015-09-01
西藏,,142,2015-11-01
西藏,,142,2016-01-01
西藏,,142,2016-03-01
西藏,,143,2016-05-01
西藏,,144,2016-07-01
西藏,,146,2016-09-01
西藏,,146,2016-11-01
西藏,,146,2017-01-01
西藏,,147,2017-03-01
西藏,,147,2017-05-01
西藏,,149,2017-07-01
西藏,,149,2017-09-01
西藏,,150,2017-11-01
西藏,,151,2018-01-01
西藏,,151,2018-03-01
西藏,,152,2018-05-01
西藏,,152,2018-07-01
西藏,,152,2018-09-01
西藏,,152,2018-11-01
广西,,8,2005-01-01
广西,,11,2005-03-01
广西,,13,2005-05-01
广西,,21,2005-07-01
广西,,43,2005-09-01
广西,,60,2005-11-01
广西,,84,2006-01-01
广西,,95,2006-03-01
广西,,99,2006-05-01
广西,,112,2006-07-01
广西,,122,2006-09-01
广西,,140,2006-11-01
广西,,160,2007-01-01
广西,,183,2007-03-01
广西,,199,2007-05-01
广西,,216,2007-07-01
广西,,231,2007-09-01
广西,,249,2007-11-01
广西,,269,2008-01-01
广西,,280,2008-03-01
广西,,295,2008-05-01
广西,,326,2008-07-01
广西,,344,2008-09-01
广西,,364,2008-11-01
广西,,400,2009-01-01
广西,,415,2009-03-01
广西,,441,2009-05-01
广西,,461,2009-07-01
广西,,477,2009-09-01
广西,,495,2009-11-01
广西,,515,2010-01-01
广西,,534,2010-03-01
广西,,548,2010-05-01
广西,,559,2010-07-01
广西,,564,2010-09-01
广西,,576,2010-11-01
广西,,596,2011-01-01
广西,,610,2011-03-01
广西,,618,2011-05-01
广西,,626,2011-07-01
广西,,641,2011-09-01
广西,,651,2011-11-01
广西,,662,2012-01-01
广西,,674,2012-03-01
广西,,688,2012-05-01
广西,,697,2012-07-01
广西,,711,2012-09-01
广西,,722,2012-11-01
广西,,739,2013-01-01
广西,,747,2013-03-01
广西,,751,2013-05-01
广西,,764,2013-07-01
广西,,768,2013-09-01
广西,,779,2013-11-01
广西,,790,2014-01-01
广西,,795,2014-03-01
